action_type,opportunity_score,priority,channel,target,status,contact_url,landing_url,utm_url,anchor_or_listing_phrase,evidence_needed,subject,message_or_query,next_step,tracker_command,notes
submit_or_contact,100,P1,Partner outreach,Chinese restaurant POS consultants,not_started,https://www.m988.com/,https://serviio.ai/restaurant-pos-partner-referral/,https://serviio.ai/restaurant-pos-partner-referral/?utm_source=chinese_pos_workflow_partner&utm_medium=partner_referral&utm_campaign=free_search_marketing,Chinese restaurant POS partner referral,"Partner reply, referral-page URL, submitted form confirmation, or sent-message URL.",Referral path for restaurants missing phone orders,"Hi [Name],

Serviio helps restaurants answer phone orders with AI, capture structured order details, and evaluate how confirmed orders can enter the restaurant POS or kitchen workflow.

We are looking for POS consultants and restaurant technology partners who work with Chinese restaurants or takeout-heavy operators using 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, Mealkeyway, or similar systems.

If you meet restaurant owners who miss calls during rush hours or still re-enter phone orders manually, could we discuss a referral path? No-POS owners can also be routed toward POS recommendations before AI phone ordering.

Relevant page:
https://serviio.ai/restaurant-pos-partner-referral/?utm_source=chinese_pos_workflow_partner&utm_medium=partner_referral&utm_campaign=free_search_marketing

Thanks,
Serviio","Use POS Consultant Outreach Copy and ask for a referral path. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Chinese restaurant POS consultants"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""","Verified Chinese restaurant POS, menu, and website service target; use partner referral page to route no-POS owners to POS recommendations and POS-ready owners to demo."
submit_or_contact,100,P1,POS-specific outreach,39 Miles restaurant consultants,not_started,https://pos.menuorg.com/en/,https://serviio.ai/pos/39-miles-ai-phone-ordering/,https://serviio.ai/pos/39-miles-ai-phone-ordering/?utm_source=39_miles_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing,39 Miles AI phone ordering for Chinese restaurants,"Partner reply, referral-page URL, submitted form confirmation, or sent-message URL.",AI phone ordering add-on for 39 Miles restaurants,"Hi [Name],

Serviio helps restaurants answer phone calls with AI, capture structured takeout order details, and evaluate how confirmed orders can move into the restaurant POS or kitchen workflow.

We are especially focused on Chinese restaurants and takeout-heavy operators already using 39 Miles. These restaurants often still receive high phone volume during lunch and dinner rush, even when online ordering is available.

Would you be open to a short partner/referral conversation? We can route POS-ready restaurants to an AI phone-ordering demo, and no-POS restaurants can be qualified separately for POS recommendations before they are a fit for Serviio.

Relevant page:
https://serviio.ai/pos/39-miles-ai-phone-ordering/?utm_source=39_miles_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing

Thanks,
Serviio","Use POS-Specific Partner Outreach Copy and swap in the POS name plus the tracker UTM URL. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""39 Miles restaurant consultants"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""","Verified 39 Miles/MENUPO official contact and service path; ask about partner, referral, or integration discussion for Chinese restaurant phone-order workflows."
submit_or_contact,100,P1,POS-specific outreach,Chowbus restaurant consultants,not_started,https://www.chowbus.com/resources/become-a-referral-partner,https://serviio.ai/pos/chowbus-ai-phone-ordering/,https://serviio.ai/pos/chowbus-ai-phone-ordering/?utm_source=chowbus_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing,Chowbus POS AI phone agent,"Partner reply, referral-page URL, submitted form confirmation, or sent-message URL.",AI phone ordering add-on for Chowbus restaurants,"Hi [Name],

Serviio helps restaurants answer phone calls with AI, capture structured takeout order details, and evaluate how confirmed orders can move into the restaurant POS or kitchen workflow.

We are especially focused on Chinese restaurants and takeout-heavy operators already using Chowbus. These restaurants often still receive high phone volume during lunch and dinner rush, even when online ordering is available.

Would you be open to a short partner/referral conversation? We can route POS-ready restaurants to an AI phone-ordering demo, and no-POS restaurants can be qualified separately for POS recommendations before they are a fit for Serviio.

Relevant page:
https://serviio.ai/pos/chowbus-ai-phone-ordering/?utm_source=chowbus_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing

Thanks,
Serviio","Use POS-Specific Partner Outreach Copy and swap in the POS name plus the tracker UTM URL. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Chowbus restaurant consultants"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Verified Chowbus referral partner path; evaluate partner/referral fit for Chinese and Asian restaurant leads already using Chowbus workflows.
submit_or_contact,100,P1,POS-specific outreach,Mealkeyway restaurant consultants,not_started,https://www.mealkeyway.online/,https://serviio.ai/pos/mealkeyway-ai-phone-ordering/,https://serviio.ai/pos/mealkeyway-ai-phone-ordering/?utm_source=mealkeyway_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing,Mealkeyway phone order integration,"Partner reply, referral-page URL, submitted form confirmation, or sent-message URL.",AI phone ordering add-on for Mealkeyway restaurants,"Hi [Name],

Serviio helps restaurants answer phone calls with AI, capture structured takeout order details, and evaluate how confirmed orders can move into the restaurant POS or kitchen workflow.

We are especially focused on Chinese restaurants and takeout-heavy operators already using Mealkeyway. These restaurants often still receive high phone volume during lunch and dinner rush, even when online ordering is available.

Would you be open to a short partner/referral conversation? We can route POS-ready restaurants to an AI phone-ordering demo, and no-POS restaurants can be qualified separately for POS recommendations before they are a fit for Serviio.

Relevant page:
https://serviio.ai/pos/mealkeyway-ai-phone-ordering/?utm_source=mealkeyway_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing

Thanks,
Serviio","Use POS-Specific Partner Outreach Copy and swap in the POS name plus the tracker UTM URL. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Mealkeyway restaurant consultants"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Verified official Mealkeyway POS site/contact path; evaluate integration or referral discussion for Chinese takeout and Asian restaurant workflows.
submit_or_contact,100,P1,POS-specific outreach,MenuSifu restaurant consultants,not_started,https://forms.menusifu.com/pages/demo-request,https://serviio.ai/pos/menusifu-ai-phone-ordering/,https://serviio.ai/pos/menusifu-ai-phone-ordering/?utm_source=menusifu_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing,MenuSifu AI phone ordering,"Partner reply, referral-page URL, submitted form confirmation, or sent-message URL.",AI phone ordering add-on for MenuSifu restaurants,"Hi [Name],

Serviio helps restaurants answer phone calls with AI, capture structured takeout order details, and evaluate how confirmed orders can move into the restaurant POS or kitchen workflow.

We are especially focused on Chinese restaurants and takeout-heavy operators already using MenuSifu. These restaurants often still receive high phone volume during lunch and dinner rush, even when online ordering is available.

Would you be open to a short partner/referral conversation? We can route POS-ready restaurants to an AI phone-ordering demo, and no-POS restaurants can be qualified separately for POS recommendations before they are a fit for Serviio.

Relevant page:
https://serviio.ai/pos/menusifu-ai-phone-ordering/?utm_source=menusifu_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing

Thanks,
Serviio","Use POS-Specific Partner Outreach Copy and swap in the POS name plus the tracker UTM URL. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""MenuSifu restaurant consultants"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Verified official MenuSifu demo/contact path; use for partner or integration inquiry tied to Chinese restaurant phone-order automation.
submit_or_contact,96,P1,Restaurant technology directory,Restaurant POS and automation directories,not_started,https://techchef.one/,https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/,https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/?utm_source=restaurant_pos_ai_directory&utm_medium=organic_listing&utm_campaign=free_search_marketing,Chinese restaurant POS AI phone agent,Submission confirmation URL or live directory listing URL.,Serviio - AI Phone Ordering for POS-Ready Restaurants,"Serviio helps restaurants capture phone orders with AI and evaluate how confirmed orders can flow into the restaurant POS or kitchen workflow. It is built for takeout-heavy operators, including Chinese restaurants using systems such as 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway.","Use Restaurant Technology Directory Copy and emphasize POS-ready phone-order workflows. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Restaurant POS and automation directories"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""","Verified restaurant-tech discovery platform with POS, delivery, KDS, and integration taxonomy; use POS workflow and phone-order automation angle."
submit_or_contact,92,P0,Webmaster tool,Bing Webmaster Tools sitemap,not_started,https://www.bing.com/webmasters/,https://serviio.ai/sitemap.xml,https://serviio.ai/sitemap.xml?utm_source=bing_webmaster_tools&utm_medium=indexing&utm_campaign=free_search_marketing,Submit sitemap,"Confirmation URL, live link, reply, screenshot, or sent-message URL.",Bing Webmaster Tools sitemap,"Run npm run indexing:urls, submit the sitemap, then inspect URLs under Top Priority URL Inspection List first.","Submit sitemap or priority URLs, then record confirmation in the tracker. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Bing Webmaster Tools sitemap"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Submit sitemap and highest-priority POS and Chinese restaurant URLs.
submit_or_contact,88,P1,Partner outreach,POS consultants,not_started,https://bearheartconsulting.com/hospitality-technology-services/point-of-sale-implementation/,https://serviio.ai/restaurant-pos-partner-referral/,https://serviio.ai/restaurant-pos-partner-referral/?utm_source=pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing,Restaurant POS partner referral,"Partner reply, referral-page URL, submitted form confirmation, or sent-message URL.",Referral path for restaurants missing phone orders,"Hi [Name],

Serviio helps restaurants answer phone orders with AI, capture structured order details, and evaluate how confirmed orders can enter the restaurant POS or kitchen workflow.

We are looking for POS consultants and restaurant technology partners who work with Chinese restaurants or takeout-heavy operators using 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, Mealkeyway, or similar systems.

If you meet restaurant owners who miss calls during rush hours or still re-enter phone orders manually, could we discuss a referral path? No-POS owners can also be routed toward POS recommendations before AI phone ordering.

Relevant page:
https://serviio.ai/restaurant-pos-partner-referral/?utm_source=pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing

Thanks,
Serviio","Use POS Consultant Outreach Copy and ask for a referral path. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""POS consultants"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Verified restaurant POS implementation consulting target; use partner referral page for no-POS restaurants and POS-ready restaurants with phone-order automation need.
submit_or_contact,88,P1,Partner outreach,Restaurant website agencies,not_started,https://www.eaters365.com/,https://serviio.ai/restaurant-phone-order-automation/,https://serviio.ai/restaurant-phone-order-automation/?utm_source=restaurant_website_agency&utm_medium=partner_referral&utm_campaign=free_search_marketing,Restaurant phone order automation,"Partner reply, referral-page URL, submitted form confirmation, or sent-message URL.",AI phone-ordering add-on for restaurant website clients,"Hi [Name],

Serviio helps restaurants capture phone orders with AI when guests still call instead of ordering online. It can answer in English and Chinese, ask about modifiers, confirm pickup details, and evaluate POS or kitchen handoff options.

This can be a useful add-on for restaurant website and online-ordering clients who still miss calls, still take orders manually, or still need staff to re-enter phone orders during rush hours.

Would you be open to discussing a referral path for restaurant clients using systems such as 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, Mealkeyway, or similar POS platforms?

Relevant page:
https://serviio.ai/restaurant-phone-order-automation/?utm_source=restaurant_website_agency&utm_medium=partner_referral&utm_campaign=free_search_marketing

Thanks,
Serviio","Use Restaurant Website and Online Ordering Partner Copy with the tracker UTM URL. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Restaurant website agencies"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Verified branded restaurant online-ordering website and POS-integration provider; pitch AI phone ordering as add-on for restaurants that still receive calls.
submit_or_contact,88,P1,POS-specific outreach,Clover restaurant consultants,not_started,https://limelightpayments.com/contact-us/,https://serviio.ai/pos/clover-ai-phone-ordering/,https://serviio.ai/pos/clover-ai-phone-ordering/?utm_source=clover_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing,Clover POS phone order AI,"Partner reply, referral-page URL, submitted form confirmation, or sent-message URL.",AI phone ordering add-on for Clover restaurants,"Hi [Name],

Serviio helps restaurants answer phone calls with AI, capture structured takeout order details, and evaluate how confirmed orders can move into the restaurant POS or kitchen workflow.

We are especially focused on Chinese restaurants and takeout-heavy operators already using Clover. These restaurants often still receive high phone volume during lunch and dinner rush, even when online ordering is available.

Would you be open to a short partner/referral conversation? We can route POS-ready restaurants to an AI phone-ordering demo, and no-POS restaurants can be qualified separately for POS recommendations before they are a fit for Serviio.

Relevant page:
https://serviio.ai/pos/clover-ai-phone-ordering/?utm_source=clover_pos_consultant&utm_medium=partner_referral&utm_campaign=free_search_marketing

Thanks,
Serviio","Use POS-Specific Partner Outreach Copy and swap in the POS name plus the tracker UTM URL. After action, mark submitted with confirmation details.","npm run marketing:mark -- --target ""Clover restaurant consultants"" --status ""submitted"" --date 2026-06-20 --note ""Submitted/contacted; add confirmation or next follow-up detail.""",Verified Clover setup/support contact path; use for restaurants with Clover and missed phone orders.
